"","decimalLongitude","decimalLatitude"
"1",151.21815,-33.927382
"2",151.255902,-33.887956
"3",153.567116,-28.372275
"4",153.352291,-29.076316
"5",150.864716,-33.634369
"6",153.560521,-28.391703
"7",152.827636,-31.628003
"8",151.745959,-32.811506
"9",153.008502,-26.400762
"10",151.443268,-33.42396
"11",153.445457,-28.92813
"13",151.125351,-33.893893
"14",145.006111,-14.957222
"15",153.193054,-30.137004
"16",152.988755,-26.29305
"17",153.459014,-28.931957
"18",153.492067,-28.220344
"19",153.351838,-29.09203
"20",153.474459,-28.594067
"22",153.52658,-28.48505
"23",151.621393,-32.921064
"24",151.804122,-32.813292
"25",152.318889,-32.510278
"26",153.158242,-30.000588
"27",153.190096,-30.042973
"28",150.776075,-23.156756
"29",152.116304,-32.747449
"30",152.094832,-32.771386
"32",153.025609,-28.828636
"33",152.484951,-31.902098
"34",145.85,-18.083333
"35",153.534845,-28.368474
"36",151.212382,-33.832616
"37",151.214683,-33.547021
"38",151.287254,-33.685175
"39",153.432389,-28.974855
"40",153.548626,-28.329095
"41",153.08391,-29.440002
"43",153.070204,-30.396083
"44",153.33519,-29.454707
"45",152.828132,-27.411049
"46",153.532504,-28.302575
"48",151.022428,-33.729855
"50",152.007234,-32.72851
"51",153.560823,-28.285546
"52",152.27446,-32.58705
"53",153.543659,-28.503609
"56",152.968851,-26.795427
"57",151.852855,-32.727247
"58",151.848284,-32.779225
"61",153.115213,-25.963727
"62",152.518964,-32.209581
"63",153.017075,-27.545605
"64",151.474563,-33.212195
"69",151.292264,-33.80981
"70",151.537342,-33.202784
"71",153.525891,-28.80642
"73",152.637603,-31.819113
"75",152.805732,-31.675594
"78",153.113523,-29.030426
"81",150.763642,-34.935397
"82",153.53812,-28.53846
"84",153.218453,-29.230371
"85",151.824981,-32.777953
"86",153.103017,-30.321462
"87",153.58946,-28.66514
"88",151.896348,-25.509249
"90",153.25052,-29.265623
"91",153.494083,-28.168911
"92",152.869528,-31.242456
"94",153.270639,-29.028011
"95",141.776129,-13.373498
"97",152.46155,-32.128703
"98",152.964332,-31.260848
"99",153.53922,-28.60947
"100",152.27586,-32.505469
"103",153.40471,-28.989159
"104",151.029954,-33.979609
"108",150.814132,-34.579292
"110",151.267819,-33.798421
"111",152.39474,-32.38337
"113",152.079285,-32.658251
"114",151.305,-33.516
"115",153.145598,-30.198702
"116",153.383594,-29.069984
"119",153.135005,-29.743422
"120",153.54904,-28.4836
"121",153.016667,-30.6
"122",153.145452,-28.549602
"126",151.755965,-32.799095
"127",152.513949,-32.200892
"128",153.329388,-29.4416
"130",153.537333,-28.261973
"131",152.568218,-31.964659
"133",151.560215,-33.20223
"136",153.427406,-29.107751
"138",153.504087,-28.186413
"140",151.976063,-24.556752
"142",152.585122,-30.970902
"143",153.092728,-27.373403
"144",152.985533,-27.556878
"145",152.715973,-25.846295
"147",153.5417,-28.6029
"149",153.326257,-29.32138
"152",153.556347,-28.428519
"154",153.334397,-29.291125
"155",143.333333,-13.666667
"157",153.073355,-25.973842
"159",151.685517,-32.829532
"161",151.420035,-33.464402
"162",153.167909,-30.192986
"164",153.054718,-28.864119
"169",151.150417,-33.874198
"171",153.35879,-28.975399
"172",152.841667,-25.791667
"173",151.277044,-33.749214
"174",151.199317,-34.022567
"175",153.068763,-30.425261
"176",152.539364,-32.031184
"178",153.055952,-28.88157
"179",153.188148,-30.035545
"180",151.057778,-34.009722
"181",151.419989,-33.343438
"182",152.351716,-32.377881
"186",151.693995,-33.000655
"187",151.465209,-33.292887
"188",153.609415,-28.670685
"190",153.013625,-30.384912
"191",152.793158,-31.719022
"192",151.450798,-33.293041
"194",153.321047,-29.62983
"195",152.876259,-31.243356
"196",153.069331,-29.562018
"198",153.210248,-29.479018
"199",142.366667,-11.116667
"200",151.831885,-32.839906
"201",152.076475,-32.73751
"204",153.261,-29.852
"206",152.069012,-32.754441
"209",152.614477,-31.834489
"213",153.118616,-28.985292
"214",153.449131,-29.037634
"215",153.506219,-28.2494
"216",152.923711,-31.444844
"218",152.921703,-30.719431
"220",151.572667,-33.138043
"223",153.210235,-29.327698
"228",153.593537,-28.837174
"229",150.75843,-33.516766
"230",153.075882,-26.791304
"231",151.922477,-24.252638
"233",153.050874,-29.397648
"236",152.804065,-31.372653
"239",150.754323,-34.493173
"241",153.27486,-29.825935
"242",152.849357,-31.564826
"245",153.069266,-27.029898
"246",151.223012,-23.602033
"247",152.76453,-29.635748
"248",152.248418,-32.536941
"249",152.962309,-30.467955
"250",153.328672,-29.351835
"252",153.136081,-26.761025
"253",152.875093,-31.434592
"256",153.298339,-29.203647
"259",152.873687,-31.466016
"261",151.201519,-33.93729
"268",153.000598,-31.116724
"270",153.1147,-27.484654
"271",152.411667,-25.126944
"272",153.601496,-28.710005
"273",153.076061,-27.323403
"274",152.958737,-31.222765
"276",152.97892,-31.14234
"278",152.313492,-27.522594
"280",152.964785,-30.882043
"281",152.772295,-31.110793
"283",152.91769,-26.9136
"284",152.20366,-32.49619
"285",153.5581,-28.244341
"286",151.374179,-32.665203
"287",153.074388,-30.367168
"288",153.361038,-28.941392
"289",153.302602,-28.848941
"290",151.055229,-33.890332
"291",151.154068,-33.940188
"295",151.153141,-34.084459
"296",152.835174,-31.535931
"297",153.315421,-29.395199
"299",151.017999,-33.805324
"301",153.173778,-29.655874
"302",153.227474,-27.708141
"306",151.710106,-32.989289
"312",143.5,-13.883333
"313",153.259245,-29.536494
"314",153.059783,-27.635814
"315",150.682294,-22.602521
"322",153.458324,-27.615955
"324",153.58093,-28.62802
"325",152.52716,-32.047597
"326",142.585833,-10.7825
"327",152.844984,-31.448833
"328",153.286352,-29.181063
"330",153.226757,-29.01929
"333",153.5293,-28.58324
"335",150.822596,-34.089313
"336",143.183333,-12.716667
"337",152.331973,-32.439151
"338",151.281105,-33.784232
"339",152.493147,-32.112477
"341",152.922365,-30.91607
"346",151.542768,-33.283918
"351",152.833218,-31.608506
"354",151.247868,-33.316994
"356",152.722804,-31.606703
"362",152.785418,-31.642501
"365",152.916317,-26.967831
"371",153.009849,-30.505087
"373",152.793477,-31.539905
"374",150.940293,-33.922451
"375",151.640398,-32.971993
"376",153.279526,-28.865767
"377",152.96022,-31.01629
"380",153.412278,-28.941163
"382",153.378386,-27.919131
"383",151.163624,-33.801474
"385",153.597072,-28.83307
"387",153.07256,-26.52258
"389",152.950672,-26.371327
"393",151.451925,-33.290034
"395",153.125,-25.975
"398",150.796219,-33.80271
"402",153.225626,-29.982061
"405",153.401021,-29.038758
"406",153.283333,-29.766667
"407",153.116127,-29.694164
"410",152.236235,-32.564897
"412",151.296919,-33.713997
"414",152.989802,-26.862798
"415",152.063676,-32.667219
"419",151.184242,-33.885438
"421",145.73,-17
"422",152.954952,-31.243361
"423",152.589729,-25.527091
"433",151.475297,-33.364635
"435",153.03443,-26.216533
"438",151.712133,-32.688042
"441",152.890402,-31.460085
"442",153.201187,-25.337555
"444",152.999885,-31.120252
"447",153.1845,-29.124063
"450",152.944245,-27.061236
"451",151.536544,-33.26229
"453",151.666698,-33.04818
"455",153.549745,-28.847405
"456",153.232484,-29.045735
"457",153.285949,-29.050109
"460",152.801888,-25.375968
"465",153.033794,-30.888415
"466",152.963904,-30.718086
"467",151.251084,-33.932598
"468",153.254453,-29.477343
"471",153.059325,-26.345605
"473",152.456398,-25.725957
"476",152.902517,-30.930683
"477",152.971102,-27.131891
"478",151.583901,-33.164992
"479",152.897881,-31.068067
"481",151.772158,-32.769372
"482",151.956926,-32.705756
"484",153.280423,-27.567046
"485",153.235977,-29.454164
"486",153.395985,-29.175656
"488",153.149953,-29.990643
"492",153.094781,-28.826705
"494",152.944536,-26.427904
"498",150.895769,-33.798549
"499",151.535663,-33.209699
"500",153.379676,-27.965282
"501",153.14465,-29.532932
"503",146.326105,-18.390125
"505",151.636505,-32.929701
"507",151.728592,-33.001306
"508",152.390164,-32.251483
"509",152.19112,-32.43475
"510",153.085245,-30.349911
"511",153.528944,-28.924988
"516",153.459394,-27.490069
"525",153.250273,-29.164103
"528",152.98795,-26.515798
"531",153.433477,-27.935252
"536",152.266664,-24.938058
"537",151.573693,-33.231065
"538",153.083268,-30.321484
"539",141.783333,-12.3
"540",152.981091,-25.884698
"542",153.033333,-27
"543",153.257342,-29.449206
"544",152.403172,-32.450334
"548",151.763203,-32.73601
"553",151.488895,-33.186503
"556",153.381914,-28.319498
"558",151.909637,-32.784138
"559",153.34273,-27.773401
"561",153.005342,-31.000379
"562",150.177947,-35.712105
"563",153.018355,-26.827323
"564",151.101589,-33.733581
"567",151.579594,-33.001327
"574",151.662346,-32.890436
"580",153.580119,-28.769956
"581",152.889341,-31.011106
"582",151.341389,-33.426944
"583",153.043396,-30.88862
"585",153.33324,-29.566299
"589",151.537158,-32.698985
"590",152.725132,-31.634737
"592",153.009047,-27.533681
"593",151.889731,-32.816355
"594",152.741318,-25.336543
"597",150.225581,-22.751553
"602",153.175124,-29.556171
"605",153.077346,-26.795159
"610",153.154292,-29.5758
"617",153.295871,-29.763457
"618",143.316667,-13.733333
"621",152.982522,-30.642167
"632",150.859844,-33.790078
"636",151.096329,-33.835696
"637",153.092724,-26.556736
"651",153.006808,-30.995534
"652",153.066196,-27.557733
"653",151.63683,-33.060906
"658",153.1,-27.5
"664",152.895009,-31.259682
"666",152.93464,-26.935006
"669",153.147614,-27.462003
"670",151.328222,-32.760744
"675",152.82327,-31.424036
"677",145.209435,-15.106806
"678",153.161395,-29.916442
"681",151.364041,-33.502272
"683",152.501229,-32.360505
"685",152.977597,-30.675243
"687",151.092037,-33.78748
"688",145.204766,-37.824228
"689",153.09,-26.47688
"690",153.235717,-29.413036
"692",151.22115,-33.732884
"699",152.825761,-31.474059
"701",152.829475,-31.579792
"705",153.140694,-30.281611
"709",150.664093,-34.762562
"712",152.322586,-27.482258
"717",145.25,-15.5
"726",152.993385,-30.788716
"728",153.196823,-30.121365
"730",150.940869,-34.25173
"731",153.462447,-28.137189
"737",151.149012,-33.665231
"738",153.327114,-29.10962
"739",142.916667,-13.083333
"742",145.678611,-16.787222
"744",145.933333,-17.45
"745",153.154378,-27.590755
"746",145.003641,-37.845786
"750",153.307052,-29.698452
"751",145.2,-15.1
"754",151.901056,-24.248416
"755",152.464259,-32.375283
"757",153.035719,-27.369137
"759",152.931517,-31.070417
"764",152.816667,-31.15
"774",151.518412,-33.128854
"775",152.67826,-25.56012
"776",150.66742,-34.046586
"777",153.364852,-28.847765
"779",151.583865,-33.194394
"782",153.02584,-29.60651
"786",142.359454,-11.173503
"789",153.213571,-29.105038
"791",152.32879,-32.460646
"794",152.761516,-31.339738
"797",145.583333,-16.75
"803",153.101729,-29.410706
"805",145.833333,-17
"806",153.132148,-27.696433
"807",153.088091,-28.708511
"817",152.825197,-31.39284
"818",153.011287,-29.405148
"821",152.7285,-31.4891
"824",151.345657,-33.487072
"827",153.128961,-30.302955
"831",153.115082,-27.018285
"835",151.295896,-33.664892
"840",153.327635,-28.940376
"841",151.276684,-33.654316
"845",144.5,-15.333333
"847",152.784436,-31.698409
"848",152.360552,-32.490989
"850",153.590227,-28.782537
"854",153.462453,-28.872571
"856",153.048939,-27.058178
"858",151.667806,-33.098418
"863",153.176065,-27.573401
"866",153.065614,-29.509788
"869",145.111389,-37.691406
"872",152.96693,-31.195696
"880",151.158889,-33.778056
"882",153.181929,-29.488013
"884",152.855031,-29.849457
"890",146.7827,-19.233933
"892",152.946988,-30.750547
"894",153.149167,-28.993178
"897",152.175009,-32.73635
"908",142.358333,-11.125
"914",153.551484,-28.5421
"919",151.310063,-33.433293
"920",153.477163,-28.911809
"922",152.957906,-30.510925
"925",151.62571,-32.859481
"930",153.008554,-29.634309
"932",152.425834,-32.231515
"935",151.458426,-33.407663
"936",152.964727,-30.924137
"945",152.16092,-32.58668
"947",153.494941,-28.582969
"955",153.440401,-27.109577
"956",152.439545,-32.074321
"960",153.072023,-29.945941
"964",152.867989,-31.027147
"969",153.093,-26.398
"983",152.962825,-26.701718
"990",153.080122,-27.337869
"991",152.29961,-24.891985
"996",146.0261,-17.923461
"1001",153.087159,-26.502477
"1004",152.926327,-31.462291
"1005",153.13315,-27.642181
"1007",141.721667,-12.293333
"1010",150.140947,-35.90099
"1014",153,-26.1
"1016",153.316667,-29.533333
"1017",152.006031,-32.784274
"1021",151.480133,-33.266875
"1022",151.403587,-33.335241
"1023",152.421351,-32.145283
"1024",153.124051,-29.665367
"1027",151.115755,-34.071141
"1028",150.76607,-33.60831
"1032",153.02,-30.2
"1037",152.350275,-24.828315
"1051",152.584534,-25.544521
"1052",153.035807,-28.838008
"1053",151.221867,-33.693915
"1055",145.966667,-18.016667
"1059",153.059371,-29.61834
"1066",153.154507,-29.412426
"1068",152.837733,-31.583758
"1071",152.841627,-31.643937
"1076",152.285,-32.581
"1089",151.107222,-34.025
"1090",152.890618,-29.686837
"1104",145.133333,-15
"1105",150.860034,-33.931833
"1108",152.171182,-32.668624
"1110",153.057374,-26.591302
"1111",153.426302,-29.045593
"1112",152.941086,-27.016767
"1118",150.4858,-23.3205
"1119",152.719677,-25.271412
"1120",152.966948,-30.857735
"1132",152.905059,-30.657614
"1133",151.866667,-32.8
"1137",152.9434,-26.3009
"1139",153.067394,-26.975397
"1141",152.565701,-32.008743
"1143",152.763062,-25.526991
"1146",151.278433,-33.852353
"1150",153.096858,-28.845433
"1160",152.921203,-30.916791
"1177",150.722786,-35.005172
"1178",151.714688,-32.892704
"1179",153.401561,-27.134023
"1182",153,-27.316667
"1183",152.730693,-31.838595
"1184",151.235997,-33.782603
"1185",152.905596,-31.176003
"1187",150.91541,-33.776257
"1190",152.226381,-32.454078
"1193",153.077862,-29.485786
"1195",145.342773,-16.106804
"1198",150.466317,-35.366325
"1202",151.517652,-32.743247
"1204",152.974131,-30.82998
"1207",153.064391,-26.49124
"1210",152.904599,-26.895648
"1211",152.161,-32.55615
"1212",150.683941,-33.781123
"1213",153.176495,-29.964434
"1215",152.872392,-25.612503
"1217",152.894728,-31.503964
"1219",151.941913,-32.658909
"1220",152.775289,-29.770491
"1225",145.2,-15.066667
"1228",153.395221,-27.901826
"1229",153.077802,-26.567126
"1242",151.300945,-33.761555
"1243",153.279542,-28.798766
"1249",152.7667,-27.6167
"1253",152.370575,-27.469483
"1258",150.907938,-34.335601
"1260",152.833333,-26
"1263",153.2,-29.933333
"1265",153.159534,-30.214018
"1267",152.757728,-25.424876
"1275",150.651089,-33.83625
"1277",152.896059,-31.401732
"1278",152.161494,-32.541283
"1280",145.38,-16.63
"1281",153.385105,-29.158422
"1285",153.153087,-29.006017
"1288",152.518592,-32.306779
"1290",153.029076,-26.845387
"1294",153.237757,-29.683252
"1301",152.888471,-31.346289
"1302",152.510329,-32.08692
"1304",151.234633,-33.900528
"1305",153.33355,-29.567591
"1308",153.050307,-26.891175
"1311",152.905287,-25.705756
"1314",142.759451,-11.156834
"1317",152.228374,-32.488931
"1329",152.997778,-30.442222
"1331",152.956712,-29.15312
"1336",153.073604,-25.943289
"1338",146,-18.25
"1351",153.053808,-27.480155
"1352",152.937469,-29.533817
"1355",152.476348,-32.315876
"1357",152.08975,-32.44216
"1360",153.014953,-27.215489
"1364",150.935987,-33.695442
"1369",147.343377,-35.146045
"1372",144.784444,-14.729167
"1374",152.442902,-32.37529
"1377",153.184268,-27.501422
"1381",151.49503,-24.41454
"1382",150.929175,-33.909807
"1384",149.93716,-36.735274
"1386",150.989959,-33.877268
"1393",151.95036,-32.79272
"1399",146.4358,-19.063
"1403",146.809511,-19.279022
"1405",152.84463,-31.145711
"1406",152.972895,-28.686368
"1417",151.076184,-33.834912
"1419",152.961944,-26.743056
"1420",153.010278,-27.613889
"1421",153.207371,-29.388309
"1423",151.374393,-33.386352
"1425",150.387004,-34.119677
"1426",152.908458,-25.929451
"1433",152.83681,-30.988646
"1439",153.098647,-26.72017
"1441",151.145236,-23.547866
"1442",150.813273,-33.610779
"1448",152.714313,-25.299323
"1450",150.829156,-33.744744
"1451",152.992731,-26.773408
"1452",152.137259,-32.667998
"1455",146.0167,-18.1
"1456",153.340448,-29.48538
"1461",152.717541,-31.732287
"1462",152.903433,-29.564844
"1463",153.093555,-27.375983
"1471",152.999535,-27.380067
"1475",153.064726,-27.213233
"1480",153.016667,-25.9
"1493",151.8167,-25.4833
"1497",152.362495,-32.431191
"1499",151.624892,-33.117731
"1511",152.955361,-31.33257
"1518",153.518637,-27.424215
"1519",150.708849,-22.492032
"1524",151.309633,-33.675666
"1525",151.142792,-33.975772
"1532",153.200322,-29.309085
"1533",153.505796,-28.915193
"1534",153.30712,-29.05852
"1537",153.034674,-27.379963
"1541",151.062008,-33.765779
"1542",152.940897,-29.601517
"1547",151.292734,-23.723421
"1559",150.6324,-35.0968
"1561",152.867313,-30.939946
"1562",151.131568,-34.030482
"1564",152.52498,-32.25149
"1567",152.78304,-31.059521
"1580",151.02777,-33.879142
"1583",153.172372,-27.492517
"1586",151.916667,-32.783333
"1594",152.695273,-25.789615
"1598",152.315994,-27.445744
"1600",152.959251,-30.509013
"1601",153.116667,-26.766667
"1605",152.832487,-26.924256
"1608",153.402669,-28.616549
"1617",150.995452,-33.988897
"1619",153.296449,-29.25263
"1622",153.066399,-25.494479
"1631",152.553663,-25.09853
"1632",151.366885,-23.939213
"1634",152.283827,-32.474068
"1640",153.157803,-29.938106
"1642",151.066623,-33.741381
"1650",153.205367,-27.632513
"1657",153.1404,-29.780124
"1661",153.517667,-28.838477
"1663",152.949108,-26.402054
"1665",153.014177,-27.496222
"1666",153.534389,-28.725257
"1683",145.9833,-17.35
"1686",153.420608,-28.334551
"1692",152.67334,-31.877563
"1699",152.956381,-30.864255
"1714",152.29377,-32.56343
"1732",153.053672,-27.735725
"1735",151.452283,-33.249536
"1744",153.261777,-29.377166
"1750",151.664542,-33.039451
"1751",149.587417,-23.805447
"1754",146.148738,-18.655615
"1762",152.12353,-32.50635
"1770",152.66709,-31.874415
"1781",152.969199,-29.619162
"1787",151.190013,-33.655064
"1794",152.1438,-32.64238
"1796",152.888594,-31.087298
"1797",153.493456,-28.370658
"1799",152.868284,-31.389437
"1804",150.767831,-33.965094
"1808",152.994369,-26.256611
"1809",151.132012,-33.721952
"1827",153.133333,-25.25
"1829",151.411363,-33.310175
"1844",152.186618,-32.633142
"1855",153.149564,-27.433946
"1857",152.151127,-32.715082
"1861",153.03572,-27.644113
"1863",153.176066,-27.740069
"1870",153.138685,-27.006908
"1873",152.768485,-25.724632
"1877",153.054593,-25.443346
"1879",151.694053,-32.969352
"1881",152.916001,-26.926214
"1882",151.501144,-33.29842
"1887",152.781829,-31.599007
"1905",153.052222,-26.4175
"1908",152.976438,-26.247912
"1913",152.979612,-27.031638
"1914",153.264503,-27.648465
"1918",150.589133,-34.879763
"1921",151.05205,-33.950854
"1927",153.227483,-29.288851
"1934",153.117509,-29.463121
"1937",150.692519,-34.038646
"1939",151.689747,-32.843361
"1946",153.476721,-28.262013
"1951",142.233333,-11.6
"1952",152.851055,-27.005083
"1954",153.169072,-29.055153
"1958",153.408157,-28.122253
"1974",153.411536,-29.105267
"1976",146.131402,-18.477916
"1988",152.827485,-31.11369
"1991",145.063064,-37.8256
"1993",152.837089,-31.113535
"1998",153.419226,-29.12905
"2001",152.876297,-31.305558
"2002",153.005497,-30.58324
"2005",152.942722,-25.856743
"2010",153.263002,-29.653422
"2014",153,-30.75
"2023",151.84611,-32.837294
"2041",151.806648,-32.673497
"2046",151.131625,-23.622311
"2061",152.865528,-31.304086
"2078",153.349825,-27.940234
"2082",152.992819,-29.475887
"2088",145.217667,-37.983617
"2089",142.459454,-10.956838
"2100",152.95117,-26.555425
"2103",142.257166,-10.151326
"2114",153.460726,-27.51287
"2122",153.173472,-29.60435
"2127",151.500821,-33.033503
"2132",151.148286,-33.696561
"2134",152.82263,-31.2093
"2139",142.742785,-11.340167
"2142",150.71908,-33.700734
"2149",152.717155,-25.57201
"2151",153.115965,-26.702485
"2153",142.45,-10.966667
"2154",152.417722,-25.081747
"2169",151.88189,-24.178975
"2171",153.127945,-27.781634
"2173",153.153987,-27.572937
"2180",143.25,-13
"2181",152.317536,-25.047295
"2186",153.166667,-27.7
"2187",152.942736,-27.30674
"2199",151.178466,-33.728508
"2209",151.091769,-33.690606
"2212",153.176,-29.232987
"2219",151.909072,-32.749108
"2222",152.459392,-25.090081
"2225",153.572857,-28.807114
"2241",150.738205,-34.837704
"2254",153.1,-27.2
"2256",152.837201,-30.74841
