LIBRARY,FID
NA,NSW_1078640
NA,NSW_1071070
NA,NSW_1078640
NA,NSW_1078640
NA,NSW_1071070
NA,NSW_1071070
NA,NSW_1071075
NA,NSW_1078640
NA,NSW_1071075
NA,NSW_1078641
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1078642
NA,NSW_1078642
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1078642
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1078645
NA,NSW_1078645
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1079702
NA,NSW_1071110
NA,NSW_1079702
NA,NSW_1078647
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1079702
NA,NSW_1071113
NA,NSW_1078651
NA,NSW_1071113
NA,NSW_1078651
NA,NSW_1071115
NA,NSW_1078652
NA,NSW_1071115
NA,NSW_1078652
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071118
NA,NSW_1071118
NA,NSW_1071118
NA,NSW_1071118
NA,NSW_1078653
NA,NSW_1078653
NA,NSW_1071118
NA,NSW_1071118
NA,NSW_1071118
NA,NSW_1078653
NA,NSW_1078653
NA,NSW_1078653
NA,NSW_1079706
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1078654
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1078654
NA,NSW_1079707
NA,NSW_1071128
NA,NSW_1071128
NA,NSW_1078656
NA,NSW_1071128
NA,NSW_1071128
NA,NSW_1071128
NA,NSW_1078656
NA,NSW_1078656
NA,NSW_1071128
NA,NSW_1078656
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1078657
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1078657
NA,NSW_1078657
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1071138
NA,NSW_1071138
NA,NSW_1078658
NA,NSW_1078658
NA,NSW_1071138
NA,NSW_1078658
NA,NSW_1079709
NA,NSW_1071138
NA,NSW_1071138
NA,NSW_1078658
NA,NSW_1071138
NA,NSW_1071138
NA,NSW_1071143
NA,NSW_1079710
NA,NSW_1071143
NA,NSW_1071143
NA,NSW_1079710
NA,NSW_1071143
NA,NSW_1078660
NA,NSW_1078660
NA,NSW_1071143
NA,NSW_1071143
NA,NSW_1078660
NA,NSW_1071143
NA,NSW_1078660
NA,NSW_1071148
NA,NSW_1078662
NA,NSW_1071148
NA,NSW_1078662
NA,NSW_1071148
NA,NSW_1071148
NA,NSW_1075721
NA,NSW_1078662
NA,NSW_1075721
NA,NSW_1071148
NA,NSW_1071148
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1075712
NA,NSW_1075721
NA,NSW_1078662
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1078713
NA,NSW_1078713
NA,NSW_1074324
NA,NSW_1078713
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1079653
NA,NSW_1075719
NA,NSW_1074324
NA,NSW_1079653
NA,NSW_1079653
NA,NSW_1079653
NA,NSW_1074429
NA,NSW_1074429
NA,NSW_1074429
NA,NSW_1075723
NA,NSW_1079715
NA,NSW_1075723
NA,NSW_1075723
NA,NSW_1075723
NA,NSW_1075723
NA,NSW_1075723
NA,NSW_1079654
NA,NSW_1075723
NA,NSW_1075723
NA,NSW_1075723
NA,NSW_1075723
NA,NSW_1074334
NA,NSW_1074334
NA,NSW_1079658
NA,NSW_1079658
NA,NSW_1074334
NA,NSW_1074334
NA,NSW_1074334
NA,NSW_1074334
NA,NSW_1079658
NA,NSW_1074334
NA,NSW_1074334
NA,NSW_1074334
NA,NSW_1074339
NA,NSW_1074339
NA,NSW_1074339
NA,NSW_1074339
NA,NSW_1079717
NA,NSW_1074339
NA,NSW_1074339
NA,NSW_1079670
NA,NSW_1074339
NA,NSW_1079671
NA,NSW_1074339
NA,NSW_1079671
NA,NSW_1074398
NA,NSW_1074398
NA,NSW_1074398
NA,NSW_1074398
NA,NSW_1074398
NA,NSW_1074398
NA,NSW_1074398
NA,NSW_1074398
NA,NSW_1079671
NA,NSW_1079719
NA,NSW_1074398
NA,NSW_1074398
NA,NSW_1074398
NA,NSW_1079672
NA,NSW_1074423
NA,NSW_1074423
NA,NSW_1079672
NA,NSW_1074423
NA,NSW_1079672
NA,NSW_1079672
NA,NSW_1074423
NA,NSW_1079720
NA,NSW_1079675
NA,NSW_1074423
NA,NSW_1074423
NA,NSW_1074428
NA,NSW_1079675
NA,NSW_1074428
NA,NSW_1079675
NA,NSW_1074428
NA,NSW_1075706
NA,NSW_1074428
NA,NSW_1075706
NA,NSW_1074428
NA,NSW_1075706
NA,NSW_1074428
NA,NSW_1075706
NA,NSW_1074428
NA,NSW_1075706
NA,NSW_1074428
NA,NSW_1075706
NA,NSW_1074428
NA,NSW_1075706
NA,NSW_1074428
NA,NSW_1075706
NA,NSW_1074428
NA,NSW_1075706
NA,NSW_1074428
NA,NSW_1075706
NA,NSW_1079722
NA,NSW_1074329
NA,NSW_1074329
NA,NSW_1079722
NA,NSW_1074329
NA,NSW_1074329
NA,NSW_1079680
NA,NSW_1074329
NA,NSW_1074329
NA,NSW_1079681
NA,NSW_1074329
NA,NSW_1074329
NA,NSW_1079681
NA,NSW_1074433
NA,NSW_1079681
NA,NSW_1074433
NA,NSW_1079681
NA,NSW_1074433
NA,NSW_1074433
NA,NSW_1079758
NA,NSW_1074433
NA,NSW_1074433
NA,NSW_1074433
NA,NSW_1074433
NA,NSW_1074453
NA,NSW_1074453
NA,NSW_1074453
NA,NSW_1074453
NA,NSW_1074453
NA,NSW_1074453
NA,NSW_1074453
NA,NSW_1074453
NA,NSW_1079686
NA,NSW_1079686
NA,NSW_1074453
NA,NSW_1074453
NA,NSW_1074458
NA,NSW_1074458
NA,NSW_1074458
NA,NSW_1074458
NA,NSW_1074458
NA,NSW_1074458
NA,NSW_1074458
NA,NSW_1074458
NA,NSW_1074458
NA,NSW_1074458
NA,NSW_1079687
NA,NSW_1074458
NA,NSW_1079687
NA,NSW_1078636
NA,NSW_1078636
NA,NSW_1078636
NA,NSW_1079727
NA,NSW_1078636
NA,NSW_1078636
NA,NSW_1078636
NA,NSW_1079727
NA,NSW_1079727
NA,NSW_1078636
NA,NSW_1078636
NA,NSW_1079691
NA,NSW_1078637
NA,NSW_1078637
NA,NSW_1078637
NA,NSW_1079691
NA,NSW_1078637
NA,NSW_1078637
NA,NSW_1078637
NA,NSW_1079692
NA,NSW_1079692
NA,NSW_1079692
NA,NSW_1078637
NA,NSW_1079692
NA,NSW_1079728
NA,NSW_1079692
NA,NSW_1079692
NA,NSW_1079692
NA,NSW_1079692
NA,NSW_1079692
NA,NSW_1079692
NA,NSW_1078640
NA,NSW_1079696
NA,NSW_1079729
NA,NSW_1079696
NA,NSW_1078641
NA,NSW_1079696
NA,NSW_1079696
NA,NSW_1079696
NA,NSW_1078641
NA,NSW_1079696
NA,NSW_1079766
NA,NSW_1078641
NA,NSW_1078641
NA,NSW_1078641
NA,NSW_1078641
NA,NSW_1078641
NA,NSW_1079697
NA,NSW_1079697
NA,NSW_1078642
NA,NSW_1078642
NA,NSW_1079767
NA,NSW_1079731
NA,NSW_1078642
NA,NSW_1079697
NA,NSW_1078642
NA,NSW_1078642
NA,NSW_1078642
NA,NSW_1078642
NA,NSW_1079701
NA,NSW_1079701
NA,NSW_1078645
NA,NSW_1078645
NA,NSW_1079768
NA,NSW_1079732
NA,NSW_1079701
NA,NSW_1078645
NA,NSW_1079702
NA,NSW_1075707
NA,NSW_1078645
NA,NSW_1078645
NA,NSW_1079732
NA,NSW_1078647
NA,NSW_1079772
NA,NSW_1075707
NA,NSW_1079702
NA,NSW_1075707
NA,NSW_1078647
NA,NSW_1078647
NA,NSW_1079702
NA,NSW_1078647
NA,NSW_1078647
NA,NSW_1078647
NA,NSW_1079702
NA,NSW_1078651
NA,NSW_1079702
NA,NSW_1078651
NA,NSW_1078651
NA,NSW_1078651
NA,NSW_1079734
NA,NSW_1078651
NA,NSW_1079734
NA,NSW_1078651
NA,NSW_1079703
NA,NSW_1078651
NA,NSW_1079734
NA,NSW_1079703
NA,NSW_1079703
NA,NSW_1079703
NA,NSW_1078652
NA,NSW_1078652
NA,NSW_1079703
NA,NSW_1078652
NA,NSW_1079705
NA,NSW_1078652
NA,NSW_1078652
NA,NSW_1078652
NA,NSW_1078653
NA,NSW_1078653
NA,NSW_1079705
NA,NSW_1079705
NA,NSW_1079736
NA,NSW_1078653
NA,NSW_1078653
NA,NSW_1079705
NA,NSW_1079706
NA,NSW_1079706
NA,NSW_1079736
NA,NSW_1079706
NA,NSW_1079706
NA,NSW_1078654
NA,NSW_1079736
NA,NSW_1078654
NA,NSW_1078654
NA,NSW_1079706
NA,NSW_1078654
NA,NSW_1079706
NA,NSW_1079707
NA,NSW_1078654
NA,NSW_1079707
NA,NSW_1079737
NA,NSW_1079707
NA,NSW_1078656
NA,NSW_1079707
NA,NSW_1078656
NA,NSW_1079707
NA,NSW_1078656
NA,NSW_1079707
NA,NSW_1079707
NA,NSW_1079708
NA,NSW_1079708
NA,NSW_1078656
NA,NSW_1078656
NA,NSW_1078657
NA,NSW_1078657
NA,NSW_1079708
NA,NSW_1078657
NA,NSW_1079708
NA,NSW_1079708
NA,NSW_1079708
NA,NSW_1078657
NA,NSW_1078657
NA,NSW_1079709
NA,NSW_1078657
NA,NSW_1079709
NA,NSW_1079709
NA,NSW_1079709
NA,NSW_1078658
NA,NSW_1079709
NA,NSW_1079740
NA,NSW_1078658
NA,NSW_1078658
NA,NSW_1079709
NA,NSW_1078658
NA,NSW_1078658
NA,NSW_1078658
NA,NSW_1079740
NA,NSW_1079710
NA,NSW_1078660
NA,NSW_1079789
NA,NSW_1078660
NA,NSW_1079710
NA,NSW_1079710
NA,NSW_1078660
NA,NSW_1079710
NA,NSW_1079741
NA,NSW_1079741
NA,NSW_1079711
NA,NSW_1078660
NA,NSW_1079711
NA,NSW_1075721
NA,NSW_1079711
NA,NSW_1075721
NA,NSW_1078662
NA,NSW_1079711
NA,NSW_1079711
NA,NSW_1079743
NA,NSW_1078662
NA,NSW_1075721
NA,NSW_1078662
NA,NSW_1075721
NA,NSW_1078662
NA,NSW_1075721
NA,NSW_1079743
NA,NSW_1075712
NA,NSW_1075712
NA,NSW_1075721
NA,NSW_1078662
NA,NSW_1075721
NA,NSW_1079744
NA,NSW_1075721
NA,NSW_1078662
NA,NSW_1075721
NA,NSW_1078713
NA,NSW_1078713
NA,NSW_1079713
NA,NSW_1079713
NA,NSW_1078713
NA,NSW_1079713
NA,NSW_1078713
NA,NSW_1078713
NA,NSW_1078713
NA,NSW_1078713
NA,NSW_1078713
NA,NSW_1078713
NA,NSW_1079653
NA,NSW_1079653
NA,NSW_1079653
NA,NSW_1079653
NA,NSW_1079653
NA,NSW_1079653
NA,NSW_1079799
NA,NSW_1079653
NA,NSW_1079653
NA,NSW_1079746
NA,NSW_1079715
NA,NSW_1079746
NA,NSW_1079654
NA,NSW_1079654
NA,NSW_1079715
NA,NSW_1079654
NA,NSW_1079803
NA,NSW_1079715
NA,NSW_1079715
NA,NSW_1079654
NA,NSW_1079654
NA,NSW_1079654
NA,NSW_1079716
NA,NSW_1079654
NA,NSW_1079658
NA,NSW_1079658
NA,NSW_1079658
NA,NSW_1079716
NA,NSW_1079658
NA,NSW_1079748
NA,NSW_1079748
NA,NSW_1079658
NA,NSW_1079658
NA,NSW_1079717
NA,NSW_1079658
NA,NSW_1079748
NA,NSW_1079670
NA,NSW_1079717
NA,NSW_1079670
NA,NSW_1079717
NA,NSW_1079750
NA,NSW_1079670
NA,NSW_1079670
NA,NSW_1079750
NA,NSW_1079750
NA,NSW_1079718
NA,NSW_1079718
NA,NSW_1079670
NA,NSW_1079718
NA,NSW_1079718
NA,NSW_1079718
NA,NSW_1079671
NA,NSW_1079671
NA,NSW_1079671
NA,NSW_1079671
NA,NSW_1079671
NA,NSW_1079671
NA,NSW_1079671
NA,NSW_1079671
NA,NSW_1079719
NA,NSW_1079751
NA,NSW_1079719
NA,NSW_1079672
NA,NSW_1079672
NA,NSW_1079719
NA,NSW_1079672
NA,NSW_1079719
NA,NSW_1079719
NA,NSW_1079672
NA,NSW_1079720
NA,NSW_1079720
NA,NSW_1079672
NA,NSW_1079752
NA,NSW_1079720
NA,NSW_1079675
NA,NSW_1079675
NA,NSW_1079675
NA,NSW_1079720
NA,NSW_1079675
NA,NSW_1079720
NA,NSW_1079675
NA,NSW_1079675
NA,NSW_1079721
NA,NSW_1079721
NA,NSW_1079677
NA,NSW_1079677
NA,NSW_1079721
NA,NSW_1079677
NA,NSW_1079721
NA,NSW_1079677
NA,NSW_1079677
NA,NSW_1079721
NA,NSW_1079677
NA,NSW_1079722
NA,NSW_1079677
NA,NSW_1079677
NA,NSW_1079680
NA,NSW_1079680
NA,NSW_1079722
NA,NSW_1079722
NA,NSW_1079756
NA,NSW_1079722
NA,NSW_1079680
NA,NSW_1079756
NA,NSW_1079680
NA,NSW_1079680
NA,NSW_1079723
NA,NSW_1079680
NA,NSW_1079681
NA,NSW_1079723
NA,NSW_1079681
NA,NSW_1079681
NA,NSW_1079758
NA,NSW_1079723
NA,NSW_1079758
NA,NSW_1079681
NA,NSW_1079724
NA,NSW_1079681
NA,NSW_1079681
NA,NSW_1080768
NA,NSW_1079724
NA,NSW_1079682
NA,NSW_1079682
NA,NSW_1079682
NA,NSW_1079724
NA,NSW_1079760
NA,NSW_1079682
NA,NSW_1079682
NA,NSW_1079682
NA,NSW_1079682
NA,NSW_1079682
NA,NSW_1079682
NA,NSW_1079725
NA,NSW_1079725
NA,NSW_1079686
NA,NSW_1079686
NA,NSW_1079686
NA,NSW_1079686
NA,NSW_1079686
NA,NSW_1079686
NA,NSW_1079686
NA,NSW_1079686
NA,NSW_1079686
NA,NSW_1079686
NA,NSW_1079687
NA,NSW_1079726
NA,NSW_1079761
NA,NSW_1079687
NA,NSW_1079762
NA,NSW_1079762
NA,NSW_1079687
NA,NSW_1079726
NA,NSW_1079762
NA,NSW_1079687
NA,NSW_1079687
NA,NSW_1079687
NA,NSW_1079762
NA,NSW_1079762
NA,NSW_1079691
NA,NSW_1079727
NA,NSW_1079727
NA,NSW_1079691
NA,NSW_1079691
NA,NSW_1079691
NA,NSW_1079763
NA,NSW_1079691
NA,NSW_1079763
NA,NSW_1079691
NA,NSW_1079728
NA,NSW_1079728
NA,NSW_1079728
NA,NSW_1079692
NA,NSW_1079728
NA,NSW_1079765
NA,NSW_1079728
NA,NSW_1079728
NA,NSW_1079729
NA,NSW_1079729
NA,NSW_1079729
NA,NSW_1079729
NA,NSW_1079696
NA,NSW_1079729
NA,NSW_1079765
NA,NSW_1079729
NA,NSW_1079696
NA,NSW_1079729
NA,NSW_1079729
NA,NSW_1079766
NA,NSW_1079730
NA,NSW_1079766
NA,NSW_1075718
NA,NSW_1079696
NA,NSW_1079697
NA,NSW_1079697
NA,NSW_1079697
NA,NSW_1079697
NA,NSW_1079730
NA,NSW_1079767
NA,NSW_1079697
NA,NSW_1079730
NA,NSW_1079741
NA,NSW_1079767
NA,NSW_1079697
NA,NSW_1079731
NA,NSW_1079731
NA,NSW_1079701
NA,NSW_1079731
NA,NSW_1079701
NA,NSW_1079731
NA,NSW_1079731
NA,NSW_1079701
NA,NSW_1079701
NA,NSW_1080766
NA,NSW_1079768
NA,NSW_1079732
NA,NSW_1079732
NA,NSW_1079732
NA,NSW_1079732
NA,NSW_1079702
NA,NSW_1079732
NA,NSW_1079772
NA,NSW_1075707
NA,NSW_1080767
NA,NSW_1079732
NA,NSW_1079733
NA,NSW_1079733
NA,NSW_1079702
NA,NSW_1075707
NA,NSW_1079733
NA,NSW_1075707
NA,NSW_1079702
NA,NSW_1079733
NA,NSW_1080767
NA,NSW_1075707
NA,NSW_1079733
NA,NSW_1075707
NA,NSW_1079734
NA,NSW_1075707
NA,NSW_1079773
NA,NSW_1075707
NA,NSW_1079714
NA,NSW_1079703
NA,NSW_1079734
NA,NSW_1079734
NA,NSW_1079774
NA,NSW_1079734
NA,NSW_1079734
NA,NSW_1079734
NA,NSW_1079703
NA,NSW_1079735
NA,NSW_1079735
NA,NSW_1079703
NA,NSW_1079735
NA,NSW_1079705
NA,NSW_1079735
NA,NSW_1079705
NA,NSW_1079735
NA,NSW_1079705
NA,NSW_1079735
NA,NSW_1079735
NA,NSW_1079778
NA,NSW_1079705
NA,NSW_1079705
NA,NSW_1079736
NA,NSW_1079778
NA,NSW_1079736
NA,NSW_1079778
NA,NSW_1079736
NA,NSW_1079736
NA,NSW_1079706
NA,NSW_1079779
NA,NSW_1079706
NA,NSW_1079737
NA,NSW_1079737
NA,NSW_1079706
NA,NSW_1079737
NA,NSW_1079737
NA,NSW_1079707
NA,NSW_1079737
NA,NSW_1079779
NA,NSW_1079783
NA,NSW_1079707
NA,NSW_1079737
NA,NSW_1079707
NA,NSW_1079738
NA,NSW_1079707
NA,NSW_1079738
NA,NSW_1079738
NA,NSW_1079738
NA,NSW_1079738
